GiggaGG,91,2760,@elonmusk https://t.co/76rokAEmbh
Renata Konkoly 🦉,35,1960,@elonmusk https://t.co/pYBitDnlZ6
Kawber,59,1895,@elonmusk https://t.co/wqDsPEcpOQ
Pranay Pathole,46,1480,@elonmusk Give me your financial support! https://t.co/KE2rXipsHy
Shash 🌐,58,1283,@elonmusk Philosophy https://t.co/rLxtqT11Zo
cark??,4,1053,@elonmusk Imagine paying taxes lol
Nayosuri,4,562,@elonmusk It really be like that https://t.co/8iHp9D7O4r
Shreyansh Khale,5,391,@elonmusk That’s why it’s him who should be elected. https://t.co/DcnKdZDajb
Pablo Szymanski,2,362,@elonmusk If only Musk was as transparent with his finances.
Mohamed Enieb,3,293,@elonmusk https://t.co/6nBJxRKN1k
Jason Hughes,5,264,"@elonmusk Is it just me, or does no one seem to care that every single one of these is a huge tax hike?  I try to stay away from politics, but, this seems kind of like an obvious no-go for me..."
Angella King,15,225,@elonmusk https://t.co/nD2zJMK31n
Pauline 🚀,12,174,@elonmusk https://t.co/kPW68w8Uq4
SonEr,7,169,@elonmusk No  more tax 😎 https://t.co/6QKCTPRHFS
Cubuss,0,137,@elonmusk https://t.co/sPiX4vch9r
Alla Kovch,3,105,@elonmusk Socialism is communism and it robs people.
Trust Elon,1,98,@elonmusk In Elon We Trust
Shash 🌐,4,95,@elonmusk Bernie says : Ora to tax lol https://t.co/GsJ7x1XTVE
We The People,0,83,@elonmusk Vote for @realDonaldTrump !! https://t.co/Pb5gp1OXNm
Human™,0,82,@elonmusk Haha funny number 69 haha. Can I have roadster?
Ghost.Gamer,0,74,@elonmusk Elon musks meme rate is 100% perfect
Alejandro Salomon,4,73,@elonmusk hahahahahahahahahahah!
Moses,0,73,@elonmusk Call him and tell him to change it for the meme. For the meme!!
Rick (Non-Fiction Ghostwriter - commissions open),0,51,"@elonmusk Eh, it'll be like in the 60's where the tax rate was something silly like 90%. The millionaires were able to hire top accountants that found every loophole in the book and never actually paid anything close to that. 

Working class families though had to pay and not complain"
Michael Knaepen,0,46,"@elonmusk No, @BernieSanders doesn't cheat.
#Bernie2020 #eattherich"
The Man,1,45,@elonmusk He's ruin USA
John Lewis,0,32,@elonmusk Catastrophic for our economy.
Janne ⚡️Free Viggo 👻,0,19,@elonmusk https://t.co/qFZLxMbIRh
Johannes Brorsson,0,19,@elonmusk Will you vote Bernie?
Michael,0,18,@elonmusk Bernie 2020
Tim,0,18,"@elonmusk What if it was paid in Dogecoin?

https://t.co/982gPt8ol9"
Plex,0,18,@elonmusk Hey
Jake,0,17,@elonmusk lol nice
Terrorising everyone with a fan,0,17,@elonmusk https://t.co/bICbr5pK1C
