Vala Afshar,24,41,"Technology investments in 2020 — @MuleSoft research of 800 global IT leaders:

1 security
2 analytics
3 multi-cloud
4 #AI / machine learning
5 internet of things #IoT
6 blockchain
7 API monetization
8 streaming big data
9 VR/AR
10 microservices
11 chatbots https://t.co/QEhAIsNGHf https://t.co/H0Tbznbyos"
Nelson Alves Jr,0,14,"Sujeito tá usando Inteligência Artificial para fazer o upscale pra 4K e 60fps e, se não bastasse, colorizar as imagens. Tudo via ""machine learning"", que é tipo um Skynet 2.0. Fantástico o resultado. Tem vídeo de Paris em 1890, Nova York em 1910 e por aí vai."
40 SAD/SOG,1,14,you’re a woman i’m a machine learning model
The Turing,6,12,Event tonight @LSHTM featuring @mark_vdlaan ➡️Targeted learning: The bridge from machine learning to statistical causal inference https://t.co/cVMlB6mZHa. SOLD OUT but there will be a livestream here from 18:00 - 19:30 GMT https://t.co/YHC7bATvGv #data #stats @LSHTMstatmethod
John Keefe,1,11,Journalists: We just released 15 (free!) videos to help you learn machine learning. @qz #NICAR2020 🤖https://t.co/AL4Z5jLTyK
Flanker,0,9,"@InfianEwok @G2Fresh @G2_Sua @Siege_GG The year is 2021, SiegeGG has implemented game theory in its underground server farms, which use machine learning to predict roster moves"
silvio meira,3,7,"ESTUDO [106k jogos, 38k jogadores de #FUTEBOL] cria métricas e quantifica IMPACTO conjunto de pares de ataque e defesa E usa machine learning para derivar química de #JOGADORES que nunca jogaram juntos: https://t.co/beoGhJQkcc. para? planejar aquisições e montar ""times ideais""... https://t.co/13E6Du4cum"
"Wafik S. El-Deiry, MD, PhD, FACP",2,6,"Great to welcome Dr. Lorin Crawford from Biostatistics as he speaks about machine learning in genomic studies at Population Science Group Meeting, Joint Program in Cancer Biology @HealthyBrown @BrownCCMB @BrownMedicine @BrownUResearch @BrownUniversity @lorin_crawford @RIHospital https://t.co/V8bkVjO4EQ"
Mosaic Ventures,1,6,"Excited to be leading the Ser A in @Mavenoid, backing @shahanlilja and @Gintasm in this exciting startup applying machine learning to customer service. Also to join @PointNineCap &amp; @creandum in the investor group https://t.co/tzCqoeRjvP…"
John Hagel,0,5,Alphabet has been using machine learning techniques to develop robots adaptable enough to carry out a range of tasks in cluttered and unpredictable human environments like homes and offices https://t.co/jRksFHtafC
Uber Engineering,1,5,"New on the blog today: Managing multiple machine learning models to enable self-driving vehicles is a challenge. @UberATG  developed a model life cycle for quick iterations and a tool for continuous delivery and dependency management.
https://t.co/MQsEfRNxIm"
Ai x Summit,3,4,Here are some common challenges of machine learning model deployment and key points to help you tackle some of those challenges. #DataScience #MachineLearning @frlazzeri https://t.co/QdQHcc2VGW
Pablo Casas,2,4,"En un proyecto de machine learning, nunca creamos un solo modelo, sino varios de ellos.

Seleccionar ""el mejor"" no es una tarea trivial, perseguir el que mejor ROC/RMSE/Kappa/etc, puede que no sea la mejor idea.

Sale thread!

#IA #ML https://t.co/7tC6mPO0jr"
Automeme,2,4,"How is AI and machine learning benefiting the healthcare industry? https://t.co/khAqkIRlqu via @HealthEuropa

#HealthCare #health #learning  #machinelearning #ai #technology

@kuriharan
 
@enricomolinari
 
@ChuckDBrooks
 
@terence_mills
 
@MikeQuindazzi
 
@KenLittle"
João Paulo Nogueira,3,4,"As data scientists should know that machine learning is not only .fit() &amp; .predict(), I think professors and courses should also stop teaching ml with an already created ABT. The steps to transform the data into the ABT should also be teached. 
#rstats 
#MachineLearning"
Raahel Baig,2,4,"Day 3. Successfully completed the Intro to Machine Learning Micro-course on Kaggle. Learned about Pandas, scikit-learn, Decision Tree Regressor, Random Forest Regressor and D-F-P-E of building a machine learning model.

#100DaysOfCode 
#coding
#kaggle
#MachineLearning https://t.co/pLFPwtcKm4"
Pablo Geraldo B.,0,3,"We are still receiving applications for the Summer Institute in Computational Social Science (SICSS) at the UCLA partner site!!! It is a great opportunity for learning and collaboration, with a local focus on causal inference and machine learning.

https://t.co/MkPLPmJX0v https://t.co/IzJCvsd9LA"
nilknahs,0,3,Everyday I feel like my love for photography is evolving to be more inline with my love for technology. Photography x technology is the foundation for machine learning and I feel like I am exactly where I need to be
Salem Alelyani|سالم العلياني,1,3,@eisa_ayed بناء الlecture notes من الأمور المرهقة. وفي الحقيقة بدأت لعملها للمادة اللي ادرسها machine learning. لكن فعلا متعبه. مازلت ابني فيها
Ali Nasseri,2,3,"Interesting intro to #machinelearning machine learning, for the masses! #ML #AI 
https://t.co/5kGf9bbaWR"
Ken,0,3,"•ジムで背中トレーニング
•udemyでpythonの基礎の復習
•applyする会社のピックアップ
•Courseraでmachine learningの動画を見る

上記予定で進めていこうと思います。

#今日の積み上げ 
#駆け出しエンジニアと繋がりたい"
Cal $,1,3,"Ever get stuck trying to come up with a logo for a new business 

I found something that might help 

This site will instantly generate multiple logos based on your business name using machine learning 

https://t.co/tuWyKZ3xD8"
Nis Bjorn,0,3,"Shout out to @TNEfterskole for stopping by @meet_cleo today to talk about financial health, money, brand, design, chat, user research, code, machine learning and NLP 💪 always exciting for us when people are interested in things we're passionate about https://t.co/ymWYfRszln"
fluffy 💜,1,3,"In case anyone was worried about machine learning replacing human knowledge:

Lately iOS has taken to autocarroting “and,” one of the most frequently used English words, to “Abbas,” which appears to be a name for someone I have never talked to and doesn’t appear in my contacts"
T0pol-M,0,2,Powerful antibiotic discovered using machine learning for first time | Antibiotics | The Guardian https://t.co/qXbh6JfYh7
🤷‍♂️👍 Ridiculous Richard aka Daffy Dick 👎,0,2,"@TheAtlantic @olgakhazan We need to proactively challenge the status quo to provide disruptive, sustainable solutions based on blockchain, AI and machine learning."
fefek,1,2,"friend at work recommended @streamlit to me today, at first I thought it's something Twitch-related but it appears that it's a new neat tool for building machine learning webapps XD #rstats #rshiny and #python #flask can be painful to get to work, do we have a saviour here? 🤔"
"Jean-Yves Gonin, CPA",0,2,How Facebook uses machine learning to detect fake accounts. https://t.co/PTwc6twV7r @techreview #ML https://t.co/tWvz5iYVtP
Benson Hill,4,2,#AINews: @CBinsights names @BensonHillInc for the 3rd yr in its AI 100 ranking that showcases the most promising AI startups in the world. We believe by combining big data &amp; machine learning w genome editing and plant biology we can empower innovators across the value chain. #AI https://t.co/DT3YMATTs4
KnowledgeLake,0,2,"#MachineLearning is an amazing technology that has a lot of buzz surrounding it, making it easy to misunderstand how it really works. Come visit us at Booth #6 to see KnowledgeLake’s machine learning live in action and find out what it’s all about! #AIIM20 https://t.co/4nzNdzobHS"
UChicago CAPP,0,2,"This week at CAPP Lunch, we wrapped up the winter quarter with a focus on data ethics — thanks to guest speaker @aziz_huq @UChicagoLaw for discussing the nuances of applying machine learning and AI in the public sector."
Sanksshep Mahendra,13,2,"Powerful antibiotic discovered using machine learning for first time https://t.co/4As9Ir9BMr

#ArtificialInteligence #MachineLearning #ai #NLP #BigData #DeepLearning #data #IoT #encryption #technology #tech #CyberSecurity #Automation #100DaysOfCode #hubofml #Robotics #Robots"
Fatima P. de Vicente,2,2,"Oracle’s top 10 #cloud predictions. Or what impact automation, #AI, machine learning, and more will have on IT by 2025: https://t.co/psi8wprbmj https://t.co/knPD8qdBzZ"
Blurry Cat Face,0,2,several people have advised me that with my background I would have a really easy time learning data science or machine learning and could get a really good job but every time I sit down to learn it it's so boring holy shit how do people do this.
Center for Sport Management Research and Education,3,2,"New #UnderstandingourDifferences post focuses on how racial bias is embedded into machine learning. 

https://t.co/im55eFIbcD

#AI #MachineLearning #racialbias #prejudice"
Tim Sweeney,0,1,Thrilled to announce publication in @NatureComms of the first locked multi-gene signature for acute #infections and #sepsis successfully validated in a blinded clinical cohort. This demonstrates the power of @Inflammatix_Inc's machine learning platform! https://t.co/qOkP9HadQd https://t.co/VW4Yu8zgDF
Michael Bolton,0,1,If you claim that words or labels aren’t important: words and labels reflect the way we classify things. Categorization is central to what we’re doing with so-called “machine learning”. Critical thinking about semantics—the relationship between words and meaning—is essential.
Mriem,0,1,"@Mugen0Tsukuyomi @aimadnet @Ginix_Labs @yorozuyanoyaro From where @Ginix_Labs come from, They call it machine learning"
skinny penis,0,1,@daneilwilshlong machine learning is just out of control these days
(((David Colarusso))),0,1,"To be clear, what I'm calling a symbolic AI is just a glorified key word search, the encoding of pre-defined rules like one would find in an expert system. The lesson contrasts this with connectionist methods (machine learning) and points to @MLforKids as a resource for that."
