Alex Simons,43,102,Today's news (it's really cool!): You can now manage your account details from within the Microsoft Authenticator app. Rolling out for iOS now. Learn more here: https://t.co/K50FmO1H9f https://t.co/OFT9hOqpG4
IKE Brewers,3,100,"How great would the Yeli extension be from a market value perspective? 

It’s like the Brewers getting 
• Apple for $200 a share
• Microsoft for $100 a share
• Starbucks for $50 a share
• Amazon for $1500 a share
• Google for $1100 a share

Great business, great value."
Forbes Crypto,29,84,"Microsoft, EY and ConsenSys to make the public ethereum blockchain safe for enterprises: https://t.co/jY5Dyh9wdU by @biserdimitrov via @Forbes"
Windows Central,10,68,Should Microsoft just rebrand Cortana to Clippy? At least one of us thinks so... #ClippyGang  https://t.co/lFDYuRMrxo
Bill *redacted*.Link,5,47,I think the news that $ubt and $link working on a project together hand in hand with Microsoft on Baseline Protocol and what this project has in store has not yet been realized by the markets. New ath for $link and $ubt on USD coming in sooner than ever expected
Messari,16,42,".@Consensys and EY team up with Microsoft to build Ethereum based enterprise protocol

+ ""Baseline Protocol"" will serve as middleware to connect ""distributed systems and interfaces""  per @jwolpert

+ @chainlink &amp; @MakerDAO are reported contributors https://t.co/MOQBdAvJwx"
Hakkı Öcal,13,40,"Türkiye'de darbe yapmaya girişen adam, polisten tapuya her yere sızmış olan adam, bu işlere başlarken Google'ı, Microsoft'u, Amazon'u, Instagram'ı, Twitter'ı boş mu bırakır? https://t.co/RdAssNJGNA"
Windows Central,5,34,"As coronavirus concerns mount in the Seattle area, Microsoft is encouraging employees to work from home.  https://t.co/L1k5N4tKMV"
Core Convergence,10,34,"We #appreciate everyone on the technical steering committee including @Microsoft, @chainlink, @AMD, @DukeU, @env_blockchain, @MakerDAO, @Neocovacorp, @splunk, @UnibrightIO, @W3BCLOUD and Provide for coming together to innovate with decentralized technology! #BaselineProtocol"
Microsoft,8,33,"Asta Roseway, principal research designer for Microsoft Research, is a fusionist - bringing together #art, research, #science and engineering to make an impact. 🌸

Learn how she does it: https://t.co/Fk9QXxuplM"
Bren (Life-long Learner)🦅,15,29,"ResumeNow

Hloom

Glover

Got Resume Builder

Adobe Spark Free Resume Builder

Microsoft Resume Builder

Google Resume Builder

Resumonk

Resume Companion

https://t.co/Tq2IhVjqi5

****Effortlessly utilize and build a job-worthy resume. Good luck with your job search. ✌🏿✌🏿"
BleepingComputer,18,24,"Microsoft, Google Offer Free Remote Work Tools Due to Coronavirus - by @LawrenceAbrams
https://t.co/ZGOZRpKbf9"
Windows Central,8,24,Microsoft offers Teams for free for six months to help with coronavirus https://t.co/P4vitNp0hf
Oliver MFL,5,22,Edition 3 of El Boletín out now. Thank you all for the great reviews over the last few days. I'm feeling the love. Tip: Turn it into a listening resource by opening with Microsoft Edge and selecting 'Read Aloud'. #mfltwitterati  https://t.co/o5mOwSkLHK via @tesResources 🇪🇸 https://t.co/yCGHQokFxm
　　　　　　　 ‏,11,21,"Microsoft billionaires trying to buy championships vs the Lakers

A tradition unlike any other https://t.co/Yuorj0yOQO"
Halo X Super Smash Bros.,6,19,"It's truly legendary to see two gaming titans working together after being seen as rivals for so long.
I think adding Chief to Smash could help further strengthen that bond. Microsoft's big name from the very beginning joining Gaming's biggest crossover ever would be legendary. https://t.co/NTBM2QAP24"
Dreamz,0,19,"I'M VERY EXCITED FOR THE NEWS RELEASE BY @chainlink team today! Microsoft - Oracle - Web 3.0 - The Standard #CHAINLINK $LINK 

YOU JUST WIN"
Morad🇵🇸,1,18,who created Microsoft Excel??? Ima beat the living hella outta them
Offline,8,18,"WHAT @Microsoft is having a SALE March into Horror right meow!!! Movies/TV Shows starting at $4.99!!! You can check out the sale right meow on you @Xbox or on the website.

Have you heard about my announcement @WatchMixer ?? If not check it out here https://t.co/6kEgyyh5WH"
Trading Benjamin's,0,18,"Sounds like that $link news was yet another nothing burger. Microsoft &amp; Ernst &amp; Young. Absolutely nothing to see here. 

There’s actually idiots who will tweet this to their 20k+ followers because their weak emotions say hate $link at all costs."
Microsoft Research,4,18,"Microsoft researcher Patrice Godefroid shares some of his insights into automated testing techniques in an article for  
@cacmmag. Understand how these methods, called “fuzzing,” can boost security in software processing untrusted inputs: https://t.co/9u6W1taBiW"
Stephen L Rose,15,17,Microsoft offers Teams for free for six months to help with coronavirus | via @windowscentral https://t.co/GVbpuRaPbu
Mike Bravo,15,17,"@Microsoft @ChristiesInc Whats up, you guys didn't want to use any of these photos for your ad? These are just as good a photo of her as you are using. https://t.co/0JdXNVmfpl"
Business Insider,6,16,Microsoft CEO Satya Nadella reveals the key lesson he learned about leadership after his son was diagnosed with cerebral palsy https://t.co/nsC2bXwoRu
Rozetked,2,16,"Microsoft показала дизайн стартового меню Windows 10 без «живых плиток».

Предполагается, что нововведение внедрят этой осенью.

https://t.co/7eaE8dzSyi https://t.co/bvdvwPKMCN"
ploɓǝuɐW lɐǝN,0,16,Today marks my last day at @Microsoft after five wonderful years. Thank you to the @MicrosoftStream &amp; @PlayCraftLearn teams for supporting improved learning outcomes and being amazing teammates. I have loved every minute of the ride. https://t.co/AsRssXyYwC
Casei Shirota #XBOXE3 #E32020 #XO2020,2,16,"Será sem dúvidas o jogo mais jogado da Xbox! E diziam que a Microsoft tinha matado a Mojang 🤣🤣🤣

Day One #XboxGamePass 😎 https://t.co/xGgYKJIhzS"
BritInTheBurgh 🇬🇧🏴󠁧󠁢󠁥󠁮󠁧󠁿🦆🦆🦆,0,15,For the last couple of years the guys at work have rolled their eyes every time I've talked about $LINK. Today they actually want more information. I guess EY and Microsoft is actually a big deal.
Threatpost,14,13,"A #phishing campaign leveraged #Microsoft OneNote to bypass detection tools and download the Agent Tesla malware onto victims’ systems.
https://t.co/8RKS9t97Fi"
The CrapGamer,2,13,"@GamezzzXbox @JayDubcity16 Microsoft refuses to get anything for their fans, early, timed ect.
Ya'll hyping Honey I Shrunk The Game, meanwhile Sony is over here putting out AAA games still and locking down timed content left and right. Those are reasons to buy a console in the first place."
⬡LinkFather⬡,2,13,"""The Baseline Protocol has already brought together more than a dozen companies and organizations that will form its technical steering committee (TSC), including #ConsenSys, #EY, #Microsoft, #AMD, #ChainLink, #CoreConvergence, .....(1/2)"
BleepingComputer,6,12,"Microsoft Releases PowerShell 7.0 With New Features, Update Alerts - by @serghei
https://t.co/DCtCFTXYIW"
Ezra Mechaber,3,11,"If you believe email development is not ""real"" coding, I invite you to spend five minutes trying to understand Microsoft Word's HTML rendering engine, which powers ~10% of the market (including Outlook *2019*). https://t.co/ToUZQNrQxC"
Lina Dencik,2,11,Danish diplomat is now in charge of EU governmental affairs for Microsoft. Is anyone keeping tabs of revolving door between European government/policy-makers/regulators and Silicon Valley? I know it’s a very active door but is there a record?  https://t.co/8pRXAXIKkJ
Chief Fausto Pichardo,1,11,"Great partnership between our officers &amp; commmunity partners working with our youth to continue to build relationships &amp; teach them life skills.

Our officers were at Microsoft HQ with students from #Brooklyn, teaching them how to build a business plan. https://t.co/O5Es7qJtnZ"
o0 xiam o0,3,11,"#sony va mourir
#Microsoft va mourir
#Nintendo va mourir

Elle n'a pas de jeu.
Elle est moins puissante
C'est moche sur un affichage TV
Il n'y a que des portages
Il n'y a que des remasters
Il n'y a pas d'exclusivité

Tel est le langage d'un #fanboy
Un #fanboy n'est pas un joueur. https://t.co/xJ8LCI67az"
Digital Trends,4,11,Tired of Twitch? Here’s how to stream on @Microsoft’s Mixer https://t.co/SUvWHGzVYO
Microsoft Ireland,2,11,"Looking forward to #BigLifeFix on @rte tonight at 9:35pm where @nstockil from our engineering team in Microsoft Ireland works with a group of leading designers, engineers, computer programmers &amp; technology experts to create inventions that will transform people's lives. https://t.co/eXn2KDrivC"
Sudhakar Sannakkayala,4,10,"Excited to welcome #postgresql committers to #MicrosoftAzure and @AzureDBPostgres.  Welcome to #Microsoft @AndresFreundTec, @MengTangmu, and Jeff!

https://t.co/o73LUwTSoP"
Hunter DeRensis,5,10,"“Bloomberg, the evil brother of the talking paper clip from Microsoft Word...”

The worst part of Michael Bloomberg departing the race is there will be no more one-line takedowns from Matt Purple in @amconmag. https://t.co/dHkgJ4Oz5S"
Olayemi 🇳🇬,4,10,"2019 Richest man:

1 Mark Zuckerberg(U.S.)

2 Larry Ellison(U.S.)

3 Amancio Ortega(Spain)

4 Carlos Slim Helu &amp; family(Mexico)

5 Bernard Arnault &amp; family(France)

6 Warren Buffett(U.S.)

7 Bill Gates(U.S.) Co-founder, Microsoft.

8 Jeff Bezos &amp; family(U.S.)CEO, Amazon.

Forbes"
Minecraft: Education Edition,3,9,"Learn the ways that #MinecraftEdu can support #ComputerScience learning. Building Blocks of #Code is a free online course on the #MicrosoftEdu Educator Center that introduces the basics of teaching CS through game-based learning.
Start the course here: https://t.co/J8fZWfW0Lt https://t.co/QDz6dxjRhW"
Tim Warner,5,9,Everyone who works with Microsoft Cloud Platform products should read this. Let me know what you think! | 670+ Subdomains of Microsoft are Vulnerable to Takeover |  VULLNERABILITY https://t.co/Mo9ab7D7pi
MSPoweruser,3,9,"Microsoft announces PowerShell 7, the latest major update to PowerShell - https://t.co/cdaYxmxTy6 https://t.co/jfk9ohDBWl"
MSPoweruser,1,9,Microsoft Complete: Is it worth the money - https://t.co/qvjMveCl77 https://t.co/KtCNaDOtHW
Chainlink en español - Spain Advocate,0,8,"1/ #Chainlink se enorgullece de formar parte del comité directivo técnico del Protocolo Baseline (@baselineproto ), una iniciativa liderada por @EYnews y @Consensys en colaboración con Microsoft. Construiremos soluciones de oráculos para hacer compatible (...) https://t.co/cwmOmR5Ps0"
TudoCelular,1,8,"Será que vai fazer falta? 🤔 #Microsoft #Windows10 
https://t.co/vSCknhgATD"
Simon Dueckert,5,8,Link-Tipp: Corona: Google und Microsoft verschenken ihre Konferenz-Tools https://t.co/nwh5TTEyRu
Pep,2,8,"Beginner developers, take note: when taking in and displaying arbitrary text, never assume what you'll get will always be logically sound lol

(To be fair, this is more the Seattle Times' fault than it is Microsoft's)
https://t.co/BO93Nf1dmL"
Facultad FilosofíaUP,4,8,Mañana @anavictoria_mdc (Gen. 19) hablará en @Microsoft sobre Ética de la inteligencia artificial. Para @CMinds_co. https://t.co/MM4x9KcPEg
