gasping for breath,16,400,@SenSanders She got something for her $300K.  A valuable education and a lifelong career of her dreams.  Why should we pay for her investment in herself?
First Squire,53,338,@SenSanders https://t.co/cNv1TJPLRK
Styxhexenhammer666,38,272,"@SenSanders ""So I think we should steal middle class cash to pay for it while pretending that politically connected often multinational corporations with government-crafted monopolies will pay for it."" -economic scientology lover, Bernard"
John Ralphio,4,214,@SenSanders Then she shouldn’t have gone to medical school
Johnny Deplorable ▪,26,123,"@SenSanders I'll take , ""Shit that never happened"" for 1000 , Alex."
S Imex,3,115,"@SenSanders Bernie, if I paid back my loans (worked hard, sacrificed 20s/early 30s, nothing handed to) do I get the $ back under your plan.  Honest question ?"
Jamie Clyde,27,110,@SenSanders https://t.co/x6cRmD4Q5r
Robert Luke,1,49,@SenSanders we need to find the person that held the gun to her head and made her sign that student loan I guess.
Bob McMahon,0,41,@SenSanders I’m a Democrat and gladly will vote for Dem nominee. But who asked this young woman to rack up $300K in student loans going to medical school?!? A cheaper alternative wasn’t available? Come on!
Freedom Recon,3,41,@SenSanders Fulfilling your end of a contract is not a punishment.  It’s called being a responsible adult.
Rex Kent,1,39,@SenSanders Go after the college to make them more affordable for students.
Vance Murphy,1,32,@SenSanders Yet... Medicare for all would eventually lower income for doctors
Political Observer,2,29,@SenSanders I remember learning that you shouldn't borrow money you cannot repay
LiterallyYourMom🇮🇱🇺🇸,2,28,"@SenSanders She should join the Army, they’ll pay off her student loans and give her a worthwhile career as a Dr with competitive pay."
Illinois is broke and corrupt,0,27,"@SenSanders If she rents a cheap apartment, gets a good medical gig &amp; eats at home, with her starting salary she can be debt free in 3-4 years. With no debts she can go live or work as she pleases and fulfill her dreams. America , what a great country !!"
Dan Evans,0,22,@SenSanders Then give her a plan to refinance at a rock bottom rate. This stance is why I will never vote for you.
Gianbattista,0,21,"@SenSanders has Bernie, or any progressive candidate, once suggested that colleges should reign in their astronomical costs?"
Laurie Payne #WhitePeopleAgainstRacism,0,20,@SenSanders @Falcaopods Debt is a contract. She SIGNED the contract. It’s not “punishment”. It was HER CHOICE.
"Maj. Lawrence, USAF(ret)",6,19,"@SenSanders My wife is a doctor, Spent well over $400k including specialization. In less than 4 years she paid it off by working her ass off saving people's hands. Altruist goals are admirable but fall in line with studying Egyptian hieroglyphics, Latin, Literature. Study to make a living..."
Victor Tango Kilo,0,18,"@SenSanders Sell one of your houses and pay her debt, comrade."
Storm 🇺🇸,3,18,@SenSanders Why in the WORLD is education costing this much? How about we address the rampant over charging of higher education and bloated systems that are run by a bunch of elites? Also if you’re going to rack up a bill YOU pay it back...
Wan Guido,0,18,@SenSanders I became an attorney to fight for those who have nothing. It cost me $300K for the privilege to do so. Our incentives in this country are totally backwards.
Sportsfanatic,0,18,@SenSanders You’re rich.... pay her debt then.
Dennis & Laura 🇺🇸🚔🗽 ︻╦╤─,1,17,"@SenSanders A good doctor will make that back within the first few years in practice..... So what's the issue?? 
If I buy a home for 300k it would take me 30 years to pay it off!"
𝐤𝖔𝖇𝐲 ♥,1,17,@SenSanders I love you
Muffin Bear’s Dad,0,16,@SenSanders https://t.co/g0I8JgzrjG
Massage By Cherry,1,16,"@SenSanders Love Bernie Sanders.
#BernieWinsWeAllWin!!!"
Modibbo,1,14,@SenSanders So poor people should subsidy medical students who would make 300K on average per year. Bravo!
Boxer,2,13,"@SenSanders Even as the US population and its demand for medical services continue to expand dramatically, the number of new doctors educated by “approved” schools and licensed by state boards hasn’t improved. 
https://t.co/VUfKirEENy"
Epstein didn't kill himself.,0,13,@SenSanders @aprildeming I should not be punished and have to pay for her loan.
MsBabs,0,13,@SenSanders I say she was pretty naive getting herself in that kind of debt! What was her major? Why didn't she go to a less expensive school? She had a choice. I should not have to pay for her bad choices!
jeffswarens,2,12,@SenSanders She didn't commit a crime. She did wiilingly incure a legal debt.
P H Stessel,0,12,"@SenSanders No, she will be punished when Socialism dictates her wages."
Mr. Brytastic,0,11,"@SenSanders Her crime was not thinking about how to pay off the debts she willingly chose to accrue

Get your hands out of my pocket"
Ella Vader 🎮🏈📚🇺🇸,0,11,"@SenSanders So, she willingly took on 300k in debt in order to fulfill a dream of hers. Why is that debt now my problem?"
Liz,1,11,"@SenSanders And, she's going to make a lot more in her lifetime than many Americans who have a bigger mortgage.  Doctors and lawyers have a higher income."
Matt Foley’s boy,0,11,"@SenSanders Join the military, they need good doctors and will pay off her student debt."
Raymond fields,0,10,@SenSanders She shouldn't have taken out the loan 🤷🏿‍♂️
𝕵𝖚𝖘𝖙𝖎𝖓 𝕳𝖔𝖌𝖆𝖓,1,10,@SenSanders Her life. Her choice. Her responsibility. Her tab.
GaryTap - Thing = Equal,0,10,"@SenSanders Lots of people want to become doctors and can’t afford it, and responsibly don’t take out irresponsible loans; after government run healthcare, fewer people will want to become doctors."
Bandido57,0,9,"@SenSanders LOAN

noun
A thing that is borrowed, especially a sum of money that is expected to be paid back with interest."
Dead Agent,1,9,@SenSanders Just skip the school and make everyone a doctor.  Then we can all make 250k/yr.  Problem solved!
Chris,0,9,@SenSanders She voluntarily agreed to a contract!
Dee Snutts,0,9,"@SenSanders So if I wanted to be a race car driver, and I went $300,000.00 into debt while chasing that goal, but never became a race car driver, should my debt be forgiven ?"
bigal64,0,9,"@SenSanders She’ll have a starting salary of over $100,000. Imagine getting a job over $175,000 and you didn’t do anything but win an election! But hey they only put us $23 Trillion in debt."
Keef,0,9,@SenSanders I'm sorry man I feel like we let you down yesterday
Mickey Zhivago,0,9,"@SenSanders SHE SIGNED THE PAPERS&gt;
I DIDN'T SIGN THEM."
Thomas A Witherspoon,2,8,"@SenSanders I am sure, as a Doctor, she will more than make up for it.  Doctors do make a lot of money.  She was the one that decided to go into that profession and we should not have to pay for her decision.  She is responsible for that and not me.  I will not be getting part of her pay!"
Tomasz Kaye (bitbutter) Social distancing in NL,0,8,"@SenSanders Her 'crime': taking out loans for $300,000. FIFY."
Deplorable NC 357,6,8,"@SenSanders That was a binding contract between her, lender and college!
Let's address the real problems with this:
College's charging too much for education.
Government taking over student loans under Obama.
Students majoring in studies that aren't in demand.
Entitlement &amp; victomhood!"
I. B. Fine,0,8,"@SenSanders We have a program in place now that if she works 10 years in a non-profit her debt will be forgiven...
What more do you want?"
Let it Rain - Text TRUMP to 88022,4,8,"@SenSanders why dont you work on lowering cost of college? Why ssfhould a book cost $500? Why did @ewarren make $400,000 to teach 1 class?"
𝕽𝖊𝖓𝖊𝖌𝖆𝖉𝖊 𝕾𝖆𝖎𝖑𝖔𝖗 - 🇺🇸,0,8,"@SenSanders She borrowed the money, she can pay it back."
Michelle Tubbs,1,8,@SenSanders It’s not the American ppl problem to PAY FOR IT!!!!!!! My daughter attends school with scholarships work programs Plus working two damn jobs!!!! WTH!!!!!
Donald E. Scott,0,8,@SenSanders I shouldn’t be punished for her career choice either. #KAG2020 🇺🇸
Cranky Gordon,1,7,@SenSanders Is there something we can do to bring the price of education down?
FLOrangeQueen,2,7,@SenSanders SHE chose to take out those debts.  She should pay them back.  Work out a payment plan like everyone else does...
Hard Voice of Truth,1,7,"@SenSanders So, you want to raise my taxes to pay for people's irresponsible financial choices.

Got it."
JWall1013,0,7,@SenSanders She knew going in.  She signed those loan papers!  It’s her responsibility!!
Aggelos,0,7,"@SenSanders but its a crime for everyone else to pay for it and who never benefited from her studies. 
Basic common sense!? 

Why dont you fight the uni’s and professors to reduce their fees and salaries to make it affordable?"
KSD,0,7,"@SenSanders The number is only getting higher for Joe Biden. Your path is over. Black Americans didn't vote for you. Obama era has started. Time to resign  
https://t.co/DT8TyuyhcJ"
Dale Kingston,0,7,"@SenSanders It's over, Bernie."
VK2,1,6,@SenSanders TELL THE SCHOOL to pay it back
Di ⭐️⭐️⭐️ 😎 TrumpAcquitted 2/5/20 TrumpUnleashed,2,6,"@SenSanders We all struggle to get what we want. We all know doctors and others who held down part time jobs, to pay for school. How about you quit your moocher pandering. If we want something we WORK for it, we EARN it.  Of course, we know that is a concept utterly alien to you."
"I'm Darren Yancy, but Jack Dorsey is a fascist",1,6,"@SenSanders Also, have you even considered IF everyone had a degree what the watered down value would be in the market? You are posing a scam on the youth of America where the underlying premise is communist slavery with you at the helm. YOU are the scariest man in America!"
Diane MAGA ⭐️⭐️⭐️,4,6,@SenSanders Then ... YOU pay for it out of your own pocket Bernie!
Pudge 🖖🏼,0,6,@SenSanders Me paying for everyone else to go to college is a horror.
KitKat42,0,6,@SenSanders It's called taking responsibility for your actions.
Capitalism Cures,0,6,"@SenSanders Ironically, the federal government is the root cause for skyrocketing tuition."
Stephen L. Hall,0,6,"@SenSanders She took on over a quarter million dollars in debt because she wanted a job which did not pay much?

Physician median pay ""is equal to or greater than $208,000 per year"" (2018).  https://t.co/3avmZS6jPj

I'm sure she can easily pay her student loans with that level of income."
NewIndependenceNetwork,0,6,"@SenSanders Average Professor Salerno $153,000 per year (https://t.co/VxkLA0OZa9)
And your friend @SenWarren earned $400,000 to teach one class. 
Have your Liberal professors take a pay cut. That will go a long way to lower tuition costs. No professor is worth $153K/year."
Suburban Voyeur™️ Fervent handwasher,0,6,"@SenSanders Hold on. She’ll make a 6 figure salary and can’t pay *some* of it back? 

Make 1 college free, not all. Kids needs to work hard, become more resilient."
