Jess Phoenix 🌋,29,294,"@neiltyson May I suggest amplifying early career scientists like @Afro_Herper, @hood_naturalist, @Rhyolite_Master, @Astropartigirl, @_Astro_Nerd_, etc? 

They could really use your support."
Kelly Carlin,22,264,"@neiltyson We love our winners until they fall, and then we love a comeback story."
Josh Sturm,0,78,@neiltyson Could the congratulating of success be encouragement to those who have not?
Light-Horse Harry Lee,2,56,@neiltyson Congratulating people that have succeeded is the ultimate way to encourage people who have not.
Cindy Winston,2,36,@neiltyson As a public school teacher 👩‍🏫 I spend a better part of my day encouraging folks.
Rutambh🍥,0,30,@neiltyson That would make this world a better place but Humans are not Comfortable to live in a better place!
Angela Hill,1,24,@neiltyson 🚬😤🤔
Rich 🇺🇲🇮🇹☘️☘️,1,21,"@neiltyson I disagree...this is the era where everyone gets trophies, no one can fail, grades are scaled to push up the average, everything is acceptable....
At some point, somewhere, the best will out shine the others by default."
Ben Ratner,0,20,"@neiltyson ENCOURAGE ME, NEIL"
Tom Linder,1,19,@neiltyson You should tell the Nobel committee to update their priorities.
Julian the Apostweet,0,18,@neiltyson *exhales massive weed smoke cloud*
ToCreate,2,17,@neiltyson We learn more from our failures than our successes.
Morehouse,0,15,@neiltyson success is easy to praise
MYSTIC7,0,13,"@neiltyson Seems more natural. Philosophically, we embody our ideals in people and love watching them succeed, because it means we can too if we try.

Cognitively, the outcome bias angles our focus to the outcome of actions, rather than the actions. 

Evolutionarily, success = survival."
Agata Borradori,0,11,"@neiltyson Speak for yourself... I spend most of my time on social media saying things like ‘good luck!’, ‘you’ve got it!’ and ‘don’t give up’. It takes MANY of these before people I interact with cross their finish line. I am a cheerleader for anybody who tries to make a change"
cosmic index 🧬,0,10,@neiltyson Agree with you
Dezmond Oliver,0,8,@neiltyson It’s funny that we also have the biggest parties celebrating someone and how much of a great impact they were and all the wonderful things they did.. AFTER they die.. I think funerals should be before you die. I want to be alive at my funeral.
Kev,0,6,"@neiltyson Maybe the people who succeeded were already encouraged because of their failure, and that is why they have succeeded"
sash,0,6,@neiltyson Congratulations
Jake,0,5,@neiltyson We do? Have any evidence to support that?
...,1,4,@neiltyson What's measure of 'Success' MORALITY or Wealth ?
Larry Vojtko,0,4,"@neiltyson That's because we live in a 'win' culture. Winning, no matter the cost, is the most admired and desired goal and achievement. We are even obsessed with winning in artistic pursuits: awards for acting, prizes for writing and visual art, competitions for music. Not curious at all."
F I П Я Σ K Ƭ,0,4,@neiltyson i always wanted to succeed at something so no one would care
TheHeartless Gamer,0,4,"@neiltyson Because people don't like being reminded they failed, plus most encouragement sounds like pitty"
Zion gardener,0,4,@neiltyson The congratulations is encouragement for those without success.
samm severin,0,3,@neiltyson We should ALL spend more time asking you to log off
Lauren Houston,0,3,@neiltyson I’m succeeding and I’m attacked 24/7. Not sure what your tweet is even talking about. I’m discouraged constantly.
Steve Williams,0,3,@neiltyson I encourage everyone to know and understand that Pluto is a planet. Nice vest NEIL!
James W. Spencer,0,3,"@neiltyson Unfortunately, that’s the problem with the culture. It’s that self-serving."
Stephen Agnew,0,3,@neiltyson Perhaps because praising people that succeed encourages people who have not to succeed themselves.
Tod Glen,0,3,"@neiltyson Any words of encouragement for poor Pluto, Neil? https://t.co/Mvo7ya3PfL"
David with the Red State Blues,1,3,@neiltyson @josh_the_red Why not both?  Doesn't seem like we should congratulate success less.
Apetivist🎃,0,2,@neiltyson @dhniceday But do we? I know plenty who are encouraging and helpful to others seeing people through these chapters in their lives.  We need to see more of it and that I would agree upon.
Terra 🌍,0,2,@neiltyson Were you the one who demoted Pluto?
The ATTIC DWELLERS,0,2,@neiltyson @maggiewhats https://t.co/LqouqnOJtn
Nouman,0,2,@neiltyson @AhadRaja9 @ddlydrake
Jane Splurky,1,2,@neiltyson Hmmmm...... interesting and valid point......
José Romero,0,2,@neiltyson @asystolepea Where is my Nobel?
FakeWillyWally,0,2,@neiltyson @ingridpv_93 Vote Bernie 2020!
j_mohl,0,2,@neiltyson Not unlike a healthcare system where the $$ is grossly overweighted in disease cure instead of disease prevention.
