LORI HENDRY TEXT TRUMP TO 88022,111,464,"@WhiteHouse @realDonaldTrump @NIH Thank you for protecting Americans, Mr President!"
"Dawn Michael, PhD💗",30,128,@WhiteHouse @realDonaldTrump @NIH President Trump acted early on to protect our country.
Super Gay 🏳️‍🌈,5,123,@WhiteHouse @realDonaldTrump @NIH Live incompetence!
"☀️Brandon Beckham, Esq.",51,105,"@WhiteHouse @realDonaldTrump @NIH 🇺🇸 Pres @realDonaldTrump has emphasized one of the most important things we can do in response to the #CoronaOutbreak is Wash our Hands.

I've seen a few @MikeBloomberg Attack Ads over the #coronavirus, arguing he'd do better.

😆How about hand-washing?⤵️
https://t.co/zaXxoaNglC"
"☀️Brandon Beckham, Esq.",31,95,"@WhiteHouse @realDonaldTrump @NIH 🇺🇸 President @realDonaldTrump has no higher priority than the health, safety &amp; well-being of the American People!

While the risk of the #Coronavirus remains low to the public, still, America is ready!

𝗙𝗼𝗹𝗹𝗼𝘄 @BrandonBeckham_ for a Christian Voice.
https://t.co/jxfLXCT3SH"
Morten Øverbye,8,92,@WhiteHouse @realDonaldTrump @NIH The education of Donald Trump now live from the White House. https://t.co/JmF0hTgwIq
When Is Trump Gone?,8,89,"@WhiteHouse @Mike_Pence @realDonaldTrump @NIH 10 Months, 16 Days, 21 Hours, 5 Minutes, and 31 Seconds"
Tim Rock,6,83,@WhiteHouse @realDonaldTrump @NIH https://t.co/Nwbc0GPQ2b
Jodie Moss,5,79,@WhiteHouse @realDonaldTrump @NIH Trump is an absolute disgrace
"☀️Brandon Beckham, Esq.",22,55,"@WhiteHouse @realDonaldTrump @NIH 🇺🇸 The @realDonaldTrump Administration took unprecedented early steps in response to #coronavirus

Don't believe the Dems false apocalyptic spin as they try to politicize this virus. Very sick politics!

𝗙𝗼𝗹𝗹𝗼𝘄 @BrandonBeckham_ for a Christian Voice.
https://t.co/gUwE8S4RXL"
KELLY⭐️⭐️⭐️Text Trump 88022,29,54,"@WhiteHouse @realDonaldTrump @NIH .@realDonaldTrump Donates 100K 
Towards the Coronavirus!! 

The Greatest President Ever!! https://t.co/3A4YBDc1B6"
Ray Brown,1,50,@WhiteHouse @realDonaldTrump @NIH You have the “angry arms” going on.  It looks like mommy just took your favorite toy.
"Dawn Michael, PhD💗",25,49,"@WhiteHouse @realDonaldTrump @NIH While the media was complaining and fear mongering President Trump was getting things done!

During their brief presentation with reporters Alex Azar announced that bench scientists within three days developed a potential vaccine for the coronavirus.

https://t.co/kovNbR2Krz"
⭐️ Merrill ⭐️,0,49,@WhiteHouse @realDonaldTrump @NIH Trump looks positively bored.
"☀️Brandon Beckham, Esq.",23,48,"@WhiteHouse @realDonaldTrump @NIH 🇺🇸 @realDonaldTrump is properly responding to #coronavirus

The media is pushing a false apocalyptic spin to politicize the virus!

""Stop the panic! Respond systematically as we know how to do."" @drdrew

𝗙𝗼𝗹𝗹𝗼𝘄 @BrandonBeckham_ for a Christian Voice. https://t.co/rZexJWaroJ"
News Corpse,11,45,"@WhiteHouse @realDonaldTrump @NIH Trump's presence there can only make things WORSE!

Meanwhile, Fox News and the GOP got their noses rubbed in it.

Donna Brazile Tells Trump-Fluffing GOP Chair to 'Go to Hell' Live on Fox News
https://t.co/C6q7AkFdHr"
HJack🗣️👥🌊🌊💢💢🍑🍊🐷,1,44,@WhiteHouse @realDonaldTrump @NIH A group of smart people and... Trump #TrumpIsAnIdiot
⭐️ Merrill ⭐️,12,42,"@WhiteHouse @realDonaldTrump @NIH Donald, remember when you said all the US patients were getting well fast?
https://t.co/kFcvxpj67L"
Billy D Twitmo refugee - Run off tRump🌊🌊🌊🌊🌊🌊,13,41,@WhiteHouse @realDonaldTrump @NIH https://t.co/CFeR3lUjrf
Billy D Twitmo refugee - Run off tRump🌊🌊🌊🌊🌊🌊,14,41,@WhiteHouse @realDonaldTrump @NIH https://t.co/m7I5x4E1TS
❈ Monika Beyer ❈,2,41,"@WhiteHouse @realDonaldTrump @NIH Arms Crossed: Defensive
Sing Song Typical Trump BS Rhetoric. 
No Thanks.
There are Other Leaders that are Proactive, Medical Professionals, and Most Important - Believable and Trustworthy.
Trump FAILS."
whamish2.0,5,39,@WhiteHouse @realDonaldTrump @NIH Remember its trump's stock market https://t.co/gTGXqPS1Ux
⭐️ Merrill ⭐️,0,38,"@WhiteHouse @realDonaldTrump @NIH What, Trump is running another infomercial?"
Billy D Twitmo refugee - Run off tRump🌊🌊🌊🌊🌊🌊,11,37,@WhiteHouse @realDonaldTrump @NIH https://t.co/n9F22aYo6b
Sally Deal,22,37,"@WhiteHouse @realDonaldTrump @NIH You've known about #COVID19 since Jan.! 

China bought us time, but CDC has yet to provide a test THAT WORKS!!!! 

If we don't know who's infected, we can't stop the #CoronaOutbreak! This is what happens when you SLASH funding for CDC!  #BidenForPresident 
https://t.co/m21G5Txac6"
sherrysager,0,36,"@WhiteHouse @realDonaldTrump @NIH Participates, yes. Understands, comprehends &amp; acts rationally? Not so much"
